vlUnitario,qtMaterial,cdMaterial,cdEmbalagem,qtEquivalencia
13.15,200,449,1,1
13.11,"5,015",449,1,1
87.1625,96,449,1,1
16.02119,370,449,1,1
15.16,510,449,1,1
15.39,529,449,1,1
13.96,44,449,1,1
15.13,314,449,1,1
13.14,129,449,1,1
10.66,104,449,1,1
14.06,353,449,1,1
14.13,373,449,1,1
13.15,20,449,1,1
14.85,260,449,1,1
14.01,980,449,1,1
15.38,50,449,1,1
21.08731,52,449,1,1
15.91,181,449,1,1
15.6,83,449,1,1
15.29,500,449,1,1
161.9,3,449,1,1
125.20647,17,449,1,1
14.07205,156,449,1,1
10.5,50,449,1,1
12.77641,463,449,1,1
6.07278,374,449,1,1
14.8,54,449,1,1
12.61,8,449,1,1
12.61,27,449,1,1
12.61,31,449,1,1
14.99,108,449,1,1
16.06,20,449,1,1
13.725,264,449,1,1
16.33,66,449,1,1
15.18563,103,449,1,1
14.16,110,449,1,1
14.95,54,449,1,1
14.95,1,449,1,1
15.62,25,449,1,1
15.51,86,449,1,1
13.14,60,449,1,1
12.66,"3,042",449,1,1
14.64,60,449,1,1
10.55902,965,449,1,1
105.5,150,449,5,10
13.52,74,449,1,1
13.52,1,449,1,1
13.52,4,449,1,1
13.496,140,449,1,1
16.52,290,449,1,1
16.03,30,449,1,1
13.77,110,449,1,1
10.68666,497,449,1,1
16.11269,78,449,1,1
17.52,100,449,1,1
13.53,98,449,1,1
15.24,235,449,1,1
14.99,135,449,1,1
12.04,421,449,1,1
11.41,65,449,1,1
114.1,10,449,5,10
14.96286,56,449,1,1
13.19,127,449,1,1
13.19,125,449,1,1
15.15,265,449,1,1
12.96,507,449,1,1
14.2798,51,449,1,1
15,243,449,1,1
15.23606,66,449,1,1
13.08,185,449,1,1
415.4,70,449,5,10
41.54,24,449,1,1
12.79,60,449,1,1
14.39,169,449,1,1
153.4,470,449,5,10
15.34,90,449,1,1
12.34,180,449,1,1
12.7,170,449,1,1
122.86,3,449,1,1
15.53,20,449,1,1
14.99,30,449,1,1
73.44,22,449,1,1
